Id,Sales
1,5649.54001573
857,5691.06759646
1713,6071.10647959
2569,7221.45691009
3425,5618.56780989
4281,4960.82156096
5137,4703.44709683
5993,4392.50046355
6849,4392.50046355
7705,4416.92252778
8561,4555.96818971
9417,5687.32339714
10273,5112.98585409
11129,6182.77735011
11985,5935.67148441
12841,6255.18549301
13697,6528.40954924
14553,8243.15969594
15409,6364.80214974
16265,5315.45560427
17121,5054.41555674
17977,4347.96646392
18833,4248.46234169
19689,4248.46234169
20545,4485.70552333
21401,5495.18261539
22257,4851.87807294
23113,5774.10497553
23969,5570.91286326
24825,5632.63335469
25681,5993.10038881
26537,7254.16653748
27393,5618.56780989
28249,4960.82156096
29105,4703.44709683
29961,4363.5224595
30817,4363.5224595
31673,4363.5224595
32529,4619.18762153
33385,5655.87861772
34241,5021.52960235
35097,5970.82371308
35953,5760.71022085
36809,5836.5843534
37665,6332.04168946
38521,7607.36430101
39377,6021.57130335
40233,5316.65522836
2,7079.9711162
858,7132.01138118
1714,7608.25689877
2570,9138.74975189
3426,4065.39517534
4282,4365.94225161
5138,5200.5287915
5994,5286.64478454
6850,5286.64478454
7706,5316.03711114
8562,5482.34329844
9418,4115.14764701
10274,4451.62265699
11130,7357.24532305
11986,7393.18369045
12842,7710.97887244
13698,8047.7812501
14554,10360.0973396
15410,4633.28530484
16266,4678.05875329
17122,5588.58131107
17978,5233.04743708
18834,5113.29270909
19690,5113.29270909
20546,5310.40990526
21402,3976.11198193
22258,4270.06014157
23114,6945.40721649
23970,6981.43954328
24826,7058.7845432
25682,7510.50360896
26538,9062.24621866
27394,4065.39517534
28250,4365.94225161
29106,5200.5287915
29962,5251.76931491
30818,5251.76931491
31674,5251.76931491
32530,5522.21212467
33386,4092.39377988
34242,4419.37192612
35098,7182.0242934
35954,7219.28399767
36810,7269.76967809
37666,7886.86674388
38522,9506.09132269
39378,4265.95118473
40234,4581.32134623
3,9118.0264584
859,9185.04502767
1715,9613.46964684
2571,11404.7948168
3427,3400.5081077
4283,5957.60375923
5139,6954.48448249
5995,7069.63879141
6851,7069.63879141
7707,7108.94221157
8563,7277.62531781
9419,3442.12566538
10275,6093.63420743
11131,9504.92999368
11987,9579.7947896
12843,10018.83319
13699,10259.1147431
14555,12851.0982906
15411,3852.20159074
16267,6383.48036878
17123,7473.38832528
17979,6997.9684165
18835,6837.83239003
19691,6837.83239003
20547,7118.73130896
21403,3325.82340708
22259,5826.77457295
23115,8944.73218256
23971,8991.13538573
24827,9090.74193533
25683,9489.95613557
26539,11381.8405408
27395,3400.5081077
28251,5957.60375923
29107,6954.48448249
29963,7023.0033122
30819,7023.0033122
31675,7023.0033122
32531,7330.54745532
33387,3423.09223154
34243,6030.50746188
35099,9249.45272857
35955,9297.43657479
36811,9419.88473378
37667,10026.6299996
38523,11935.9827236
39379,3589.27451786
40235,6288.27598038
4,6620.67850548
860,6669.34328583
1716,7114.69811857
2572,8461.15429815
3428,4522.99739957
4284,4288.71500394
5140,5011.14885883
5996,5094.12949656
6852,5094.12949656
7708,5122.45169223
8564,5282.70291842
9420,4578.34864871
10276,4386.64597538
11132,6901.62415631
11988,6955.98638589
12844,7330.41414626
13700,7650.59626253
14556,9534.19158789
15412,5123.74861873
16268,4595.31187724
17124,5385.07296291
17980,5042.48354886
18836,4927.08891253
19692,4927.08891253
20548,5167.35850905
21404,4423.66693182
22260,4194.52852234
23116,6494.84281603
23972,6528.53798014
24828,6600.86615591
25684,7023.28539462
26540,8444.12412811
